empty,empty,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name,"	J_name","	type","	parent","	a_x","	a_y","	a_z","	px","	py","	pz","	pRx","	pRy","	pRz","	uri","	mesh scale x","	mesh scale y","	mesh scale z","	vpx","	vpy","	vpz","	vproll","	vppitch","	vpyaw","	cylinder","	length","	radius","	vpx","	vpy","	vpz","	vproll","	vppitch","	vpyaw","	box","	sizex","	sizey","	sizez","	vpx","	vpy","	vpz","	vproll","	vppitch","	vpyaw","	lower","	upper","	effort","	velocity","	ipx","	ipy","	ipz","	iproll","	ippitch","	ipyaw","	mass","	ixx","	ixy","	ixz","	iyy","	iyz","	izz "
l_glut,ll1_hip_rota,revolute,pelvis,-3.67E-06,-3.21E-09,1,0,0.09525,0,0,0,-1.5708,,,,,,,,,,,1,0.07,0.03,0,0,0,0,0,0,1,0.1,0.1,0.1,-0.05,0,0,0,0,0,-0.2618,0.5236,100,12,-0.0556,-0.01481,0.0038,0,0,0,1.6525,0.0096112,0.00066352,4.04E-05,0.0047752,-1.84E-05,0.008195
l_hip,ll2_hip_abad,revolute,l_glut,1,4.10E-10,3.67E-06,-1.20E-15,0.19685,3.26E-10,1.5708,0,1.5708,,,,,,,,,,,1,0.07,0.03,0,0,0,0,0,0,1,0.1,0.1,0.27,0.07932,0,0.105,0,0,0,-0.5236,0.5236,100,12,0.06256,-0.00092,0.05683,0,0,0,11.9732,0.11554,-4.84E-05,0.019297,0.12856,-0.00070911,0.052463
l_thigh,ll3_hip_flex,revolute,l_hip,2.05E-10,-1,7.53E-16,0.22225,0.27617,8.16E-07,0,1.5708,-1.5708,,,,,,,,,,,1,0.07,0.03,0,0,0,0,0,0,1,0.4318,0.1,0.07,0.2159,0,0,0,0,0,-0.43633,2.5307,100,12,0.25783,0.03881,-0.00593,0,0,0,11.5656,0.055644,-0.027764,0.0078621,0.19807,-0.0024714,0.2314
l_ucalf,ll4_kne_flex,revolute,l_thigh,2.05E-10,-1,7.53E-16,0.22225,0.27617,-0.4318,0,1.5708,-1.5708,,,,,,,,,,,1,0.07,0.03,0,0,0,0,0,0,1,0.1524,0.1,0.07,0.0762,0,0,0,0,0,-2.1817,0,100,12,0.14183,0.01872,-0.00041,0,0,0,5.0017,0.019177,-0.012539,5.57E-05,0.035279,0.000114,0.042701
l_lcalf,ll5_cal_rota,revolute,l_ucalf,-3.67E-06,3.21E-09,1,0.22225,0.27617,-0.5842,0,0,-1.5708,,,,,,,,,,,1,0.07,0.03,0,0,0,0,0,0,1,0.07,0.07,0.2794,0,0,-0.1397,0,0,0,-0.7854,0.7854,100,12,-0.01771,0.0012,-0.18346,0,0,0,4.7149,0.023824,0.00015254,-0.0032161,0.022268,-0.00019447,0.011414
l_foot,ll6_ank_flex,revolute,l_lcalf,2.05E-10,-1,3.00E-09,0.22225,0.27617,-0.8636,0,1.5708,-1.5708,,,,,,,,,,,1,0.07,0.03,0,0,0,0,0,0,1,0.03012,0.22078,0.1397,0.14701,0.028677,0.13454,0,0,0,-0.7854,1.0472,100,12,0.10949,0.03324,0.09945,0,0,0,3.6694,0.034394,0.0018656,0.0065531,0.027417,0.0047328,0.033535
r_glut,rl1_hip_rota,revolute,pelvis,7.35E-06,-3.67E-06,-1,0,-0.09525,0,0,3.1416,-1.5708,,,,,,,,,,,1,0.07,0.03,0,0,0,0,0,0,1,0.1,0.1,0.1,-0.05,0,0,0,0,0,-0.2618,0.5236,100,12,-0.051696,-0.020482,-0.004015,0,0,0,1.6525,0.0096119,0.00066364,-4.03E-05,0.0047752,1.88E-05,0.0081957
r_hip,rl2_hip_abad,revolute,r_glut,-1,3.97E-10,-7.34E-06,-1.37E-12,-0.19685,3.73E-07,1.5708,0,-1.5708,,,,,,,,,,,1,0.07,0.03,0,0,0,0,0,0,1,0.1,0.1,0.27,0.07932,0,-0.105,0,0,0,-0.5236,0.5236,100,12,0.06256,-0.00065,-0.05684,0,0,0,11.9738,0.11557,6.62E-05,-0.019291,0.12858,0.00061499,0.052472
r_thigh,rl3_hip_flex,revolute,r_hip,-6.72E-08,-1,3.67E-06,0.22225,-0.27617,2.30E-06,0,1.5708,-1.5708,,,,,,,,,,,1,0.07,0.03,0,0,0,0,0,0,1,0.4318,0.1,0.07,0.2159,0,0,0,0,0,-0.43633,2.5307,100,12,0.2582,0.03897,0.00593,0,0,0,11.5655,0.055358,-0.02765,-0.0079492,0.19792,0.0023908,0.23096
r_ucalf,rl4_kne_flex,revolute,r_thigh,-6.72E-08,-1,3.67E-06,0.22225,-0.27618,-0.4318,0,1.5708,-1.5708,,,,,,,,,,,1,0.07,0.03,0,0,0,0,0,0,1,0.1524,0.1,0.07,0.0762,0,0,0,0,0,-2.1817,0,100,12,0.14182,0.01863,0.00066,0,0,0,5.0013,0.019191,-0.012582,-0.00022245,0.035278,-1.16E-05,0.042714
r_lcalf,rl5_cal_rota,revolute,r_ucalf,7.34E-06,-3.67E-06,-1,0.22225,-0.27618,-0.5842,0,3.1416,-1.5708,,,,,,,,,,,1,0.07,0.03,0,0,0,0,0,0,1,0.07,0.07,0.2794,0,0,0.1397,0,0,0,-0.7854,0.7854,100,12,-0.01761,0.00083,0.18404,0,0,0,4.7446,0.024212,7.56E-05,0.0032577,0.022567,2.40E-05,0.01153
r_foot,rl6_ank_flex,revolute,r_lcalf,-6.72E-08,-1,3.67E-06,0.22226,-0.27618,-0.8636,0,1.5708,-1.5708,,,,,,,,,,,1,0.07,0.03,0,0,0,0,0,0,1,0.03012,0.22078,0.1397,0.14702,0.028677,-0.13454,0,0,0,-0.7854,1.0472,100,12,0.11143,0.0358,-0.09939,0,0,0,3.6694,0.035371,0.00089975,-0.0066994,0.025373,-0.0048519,0.032481
l_foot_FT,ft1_l_foot,revolute,l_foot,0,0,1,0.258953,0.1416304,-1.0106152,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.01,0.001,0,0,0.001,0,0.001
r_foot_FT,ft2_r_foot,revolute,r_foot,0,0,1,0.258953,-0.1416304,-1.0106152,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.01,0.001,0,0,0.001,0,0.001
l_hand_FT,ft3_l_hand,revolute,l_hand,0,0,1,0.215991081,0.1500378,-0.231741878,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.01,0.001,0,0,0.001,0,0.001
r_hand_FT,ft4_r_hand,revolute,r_hand,0,0,1,0.215991081,-0.1500378,-0.231741878,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.01,0.001,0,0,0.001,0,0.001
pelvis_FT,ft5_pelvis,revolute,pelvis,0,0,1,0.037465,0,0.0635,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.01,0.001,0,0,0.001,0,0.001
torso_FT,ft6_torso,revolute,utorso,0,0,1,0.003429,0,0.453771,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.01,0.001,0,0,0.001,0,0.001
